,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,features,column_mean,column_std
0,0,0,0,heartrate__abs_energy,-6.147062453921266e-15,0.9999999999999991
1,1,1,1,heartrate__absolute_sum_of_changes,3.3812684948492507e-15,0.9999999999999877
2,2,2,2,"heartrate__agg_autocorrelation__f_agg_""mean""__maxlag_40",7.32374495745639e-15,0.9999999999999921
3,3,3,3,"heartrate__agg_autocorrelation__f_agg_""median""__maxlag_40",1.9478686259416724e-15,1.0000000000000147
4,4,4,4,"heartrate__agg_autocorrelation__f_agg_""var""__maxlag_40",1.5450468868044894e-15,0.9999999999999972
5,5,5,5,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",5.5160932892294906e-14,0.999999999999979
6,6,6,6,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",-3.38055744896886e-14,1.0000000000000002
7,7,7,7,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",8.126367671038162e-14,0.9999999999999887
8,8,8,8,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",3.101582298878227e-15,1.0000000000000062
9,9,9,9,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",-3.176083787630205e-14,0.9999999999999709
10,10,10,10,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",-1.2348603128776596e-13,1.0000000000000127
11,11,11,11,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",1.7710935486351581e-15,1.000000000000016
12,12,12,12,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",4.1557891728858865e-15,0.9999999999999976
13,13,13,13,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",-2.257518737081438e-14,0.9999999999999962
14,14,14,14,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",-4.7995416509226794e-14,0.9999999999999961
15,15,15,15,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",-2.2863011728847785e-14,1.0000000000000047
16,16,16,16,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",3.0208650180146235e-15,1.0000000000000107
17,17,17,17,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",-4.4221084819306665e-16,1.0000000000000049
18,18,18,18,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",-1.0560472974803806e-15,1.000000000000005
19,19,19,19,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",3.709511351338534e-16,1.0000000000000473
20,20,20,20,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",2.7729271807864876e-15,0.9999999999999978
21,21,21,21,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",-2.2357427251500143e-15,0.999999999999768
22,22,22,22,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",4.873508801425913e-15,0.9999999999994278
23,23,23,23,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",1.2087982303624081e-14,1.0000000000000195
24,24,24,24,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",-4.964675101309628e-16,0.9999999999999958
25,25,25,25,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",-2.3352048413285407e-16,0.9999999999999882
26,26,26,26,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",1.6066601842086993e-15,1.0000000000000062
27,27,27,27,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",-5.511389628835994e-16,1.0000000000000147
28,28,28,28,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",1.2254067243672647e-15,1.0000000000000087
29,29,29,29,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",-2.167379803227892e-15,0.9999999999999887
30,30,30,30,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",3.711976490245651e-15,1.0000000000000222
31,31,31,31,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",6.457753420223387e-16,0.9999999999999899
32,32,32,32,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",-4.1383612141006885e-15,1.000000000000063
33,33,33,33,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",-8.07631439130379e-16,0.9999999999999911
34,34,34,34,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",1.4693446650585902e-15,0.9999999999999303
35,35,35,35,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",-5.67008926901235e-16,0.9999999999999919
36,36,36,36,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",7.946245434193674e-16,0.999999999999979
37,37,37,37,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",6.810325612752881e-16,1.000000000000004
38,38,38,38,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",-3.36422329018985e-16,0.9999999999999911
39,39,39,39,"heartrate__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",-9.17240122693268e-16,1.0000000000000127
40,40,40,40,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",9.414370123168209e-15,0.9999999999999918
41,41,41,41,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",1.3006946295257269e-14,1.0000000000000062
42,42,42,42,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",-7.336900865924526e-15,0.9999999999999737
43,43,43,43,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",-3.903586240674473e-17,1.000000000000009
44,44,44,44,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",2.5429332827264594e-14,0.9999999999999905
45,45,45,45,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",-2.1951493738181647e-14,0.9999999999999892
46,46,46,46,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",1.0489553862332306e-15,1.0000000000000064
47,47,47,47,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",4.8170061989789336e-15,0.9999999999999989
48,48,48,48,heartrate__approximate_entropy__m_2__r_0.1,-3.677694703863951e-15,0.9999999999999915
